e	0
a	1
t	2
i	3
n	4
o	5
r	6
s	7
h	8
l	9
d	10
c	11
u	12
m	13
f	14
p	15
g	16
y	17
,	18
b	19
w	20
.	21
v	22
'	23
k	24
A	25
S	26
`	27
T	28
1	29
C	30
I	31
0	32
M	33
)	34
(	35
B	36
9	37
-	38
2	39
P	40
E	41
N	42
R	43
G	44
H	45
L	46
x	47
F	48
D	49
W	50
z	51
U	52
8	53
O	54
5	55
3	56
6	57
4	58
7	59
K	60
j	61
J	62
q	63
V	64
;	65
:	66
Y	67
_	68
Z	69
Q	70
/	71
%	72
é	73
X	74
&	75
ä	76
ü	77
ó	78
ö	79
á	80
í	81
$	82
!	83
°	84
#	85
ø	86
å	87
²	88
è	89
]	90
+	91
[	92
ô	93
?	94
ç	95
Ö	96
ú	97
ë	98
ñ	99
à	100
æ	101
>	102
<	103
É	104
=	105
ã	106
*	107
Î	108
â	109
Ø	110
š	111
ð	112
×	113
Å	114
€	115
ê	116
ß	117
ò	118
ï	119
ý	120
£	121
î	122
Á	123
ž	124
û	125
\	126
~	127
Š	128
ì	129
Æ	130
Ç	131
±	132
Í	133
ù	134
µ	135
õ	136
Ž	137
œ	138
Ó	139
Ú	140
þ	141
·	142
Þ	143
Ü	144
Ä	145
ÿ	146
^	147
|	148
¹	149
«	150
À	151
³	152
Â	153
Ê	154
»	155
Ò	156
Ô	157
Ñ	158
{	159
}	160
§	161
¥	162
@	163
È	164
º	165
¡	166
¿	167
©	168
Ý	169
¢	170
Œ	171
Ù	172
¬	173
Û	174
Ì	175
Ð	176
Õ	177
ª	178
®	179
	180
	181
__unkchar__	182
